"V01.00.000"
"$_Languages"
"9(1) Englisch (USA)";"7(1) Deutsch (Deutschland)";"513(1) Key"
"L164 auswechseln war aktiv";"L164 auswechseln war aktiv";""
"L164 einwechseln war aktiv";"L164 einwechseln war aktiv";""
"L164 vollwechseln war aktiv";"L164 vollwechseln war aktiv";""
"TNr.von Spindel = 0";"TNr.von Spindel = 0";""
"pos.Flanke:Spindel gespannt";"pos.Flanke:Spindel gespannt";""
"X-Achse im Bereich Wzw-Vorpos.(aus SwNock.15)";"X-Achse im Bereich Wzw-Vorpos.(aus SwNock.15)";""
"Waschen abgewählt(aus Db20.dbw24 Wert0=aus)";"Waschen abgewählt(aus Db20.dbw24 Wert0=aus)";""
"Bruchkontrolle abgewählt(aus Db20.dbw20 Wert0=aus)";"Bruchkontrolle abgewählt(aus Db20.dbw20 Wert0=aus)";""
"""DB_PLC_MD_DB20"".UDInt._000_STANDORT_MASCHTYP 3070";"""DB_PLC_MD_DB20"".UDInt._000_STANDORT_MASCHTYP 3070";""
"""DB_PLC_MD_DB20"".UDInt._000_STANDORT_MASCHTYP 3071";"""DB_PLC_MD_DB20"".UDInt._000_STANDORT_MASCHTYP 3071";""
"SpindelWzSpannvorr. in von Nc geforderter Stlg.";"SpindelWzSpannvorr. in von Nc geforderter Stlg.";""
"Option Siemens-Regal, aus DB20.dbx407.7=DB20UDHex._07_BIT7_Siemens_Regal";"Option Siemens-Regal, aus DB20.dbx407.7=DB20UDHex._07_BIT7_Siemens_Regal";""
"gemeinsame Vorbedingung weiter Gf.mit/ohne Regal";"gemeinsame Vorbedingung weiter Gf.mit/ohne Regal";""
"Flanke Anford.Grundstlg.fahren";"Flanke Anford.Grundstlg.fahren";""
"Anforderung in BetrArt Aut:Arbeitsstlg.anfahren";"Anforderung in BetrArt Aut:Arbeitsstlg.anfahren";""
"Anforderung in BetrArt Aut:Grundstlg.anfahren";"Anforderung in BetrArt Aut:Grundstlg.anfahren";""
"Kegelreinigung angewählt";"Kegelreinigung angewählt";""
"Wartezeit für nächste T-Anwahl nach Magazin von Hand positionieren";"Wartezeit für nächste T-Anwahl nach Magazin von Hand positionieren";""
"""M_Leistung_Steht_an"" u ""I_WM_Energiefreigabe"" u ""M_Handbetrieb""";"""M_Leistung_Steht_an"" u ""I_WM_Energiefreigabe"" u ""M_Handbetrieb""";""
"Hebepumpe Intervall abgelaufen";"Hebepumpe Intervall abgelaufen";""
"Werkzeugbruchüberwachung angewählt";"Werkzeugbruchüberwachung angewählt";""
"Taste Wzw Grundstlg.fahren";"Taste Wzw Grundstlg.fahren";""
"kein autom.WzwGf.:MaschTyp muss nnn sein (SwCam X-ArbRaum)!";"kein autom.WzwGf.:MaschTyp muss nnn sein (SwCam X-ArbRaum)!";""
"X-Achse nicht in WzwPos";"X-Achse nicht in WzwPos";""
"Spindel nicht gelöst";"Spindel nicht gelöst";""
"Tpu nicht in Transfer=Übergabe-/nahmepos.des GrfWz";"Tpu nicht in Transfer=Übergabe-/nahmepos.des GrfWz";""
"Tpu nicht bei Magazin";"Tpu nicht bei Magazin";""
"Tpu nicht Stlg.release Tool (hinten)";"Tpu nicht Stlg.release Tool (hinten)";""
"Tpu nicht Stlg.get Tool (vorn Wz aufnehmen)";"Tpu nicht Stlg.get Tool (vorn Wz aufnehmen)";""
"WzTür (Klappe) nicht offen";"WzTür (Klappe) nicht offen";""
"WzGrf.weder bei Spi.noch bei Magazin";"WzGrf.weder bei Spi.noch bei Magazin";""
"X ni.im Arbeitsraum";"X ni.im Arbeitsraum";""
"Werkzeugwechsel in Grundstlg.";"Werkzeugwechsel in Grundstlg.";""
"Tpu in Gst oder Transferstlg.";"Tpu in Gst oder Transferstlg.";""
"bei letztem WzwReset war kein Wz. Vorbereiten oder Ablegen aktiv";"bei letztem WzwReset war kein Wz. Vorbereiten oder Ablegen aktiv";""
"Tpu weder Stlg.release noch get Tool";"Tpu weder Stlg.release noch get Tool";""
"Tpu weder Magazin- noch Transferstlg.";"Tpu weder Magazin- noch Transferstlg.";""
"pos.Flanke umspeichern von Grf.nach Spi&Tpu";"pos.Flanke umspeichern von Grf.nach Spi&Tpu";""
"Aufruf 1";"Aufruf 1";""
"Aufruf 2";"Aufruf 2";""
"Data for ShopMill";"Data for ShopMill";""
"DP-Slave ausgefallen";"DP-Slave ausgefallen";""
"DP-Slave gestört";"DP-Slave gestört";""
"Palette auf einem Uebergabeplatz zur Maschine";"Palette auf einem Uebergabeplatz zur Maschine";""
"Palette auf Uebergabeplatz 1 ist bearbeitet";"Palette auf Uebergabeplatz 1 ist bearbeitet";""
"Palette auf Uebergabeplatz 2 ist bearbeitet";"Palette auf Uebergabeplatz 2 ist bearbeitet";""
"Palette auf Uebergabeplatz 1 ist Leerpalette";"Palette auf Uebergabeplatz 1 ist Leerpalette";""
"Palette auf Uebergabeplatz 2 ist Leerpalette";"Palette auf Uebergabeplatz 2 ist Leerpalette";""
"Anzahl Speicherplätze ";"Anzahl Speicherplätze ";""
"Rüstplatz mit Antrieb";"Rüstplatz mit Antrieb";""
"Fehler Klemmung beide 1-Signal";"Fehler Klemmung beide 1-Signal";""
"Fehler Stellung SK beide 1-Signal";"Fehler Stellung SK beide 1-Signal";""
"Fehler SK Stellung undefiniert";"Fehler SK Stellung undefiniert";""
"Fehler SK Klemmung auf 0Sig ";"Fehler SK Klemmung auf 0Sig ";""
"Fehler SK Klemmung zu 0Sig";"Fehler SK Klemmung zu 0Sig";""
"Fehler SK Stellung Vertikal 0-Signal";"Fehler SK Stellung Vertikal 0-Signal";""
"Fehler SK Stellung Horizontal 0-Signal";"Fehler SK Stellung Horizontal 0-Signal";""
"Fehler Kabinentuer Zu 0 Signal";"Fehler Kabinentuer Zu 0 Signal";""
"Fehler Freigabe SK 0-Signal";"Fehler Freigabe SK 0-Signal";""
"Fehler WZW nicht erlaubt";"Fehler WZW nicht erlaubt";""
"Modulfreigabe";"Modulfreigabe";""
"PLC-MaschinenDatum (max=200): Beginn MD145010 USER_DATA_INT [0] => DB20.DBB0 ";"PLC-MaschinenDatum (max=200): Beginn MD145010 USER_DATA_INT [0] => DB20.DBB0 ";""
"Hersteller-Standort und Maschinentyp  ";"Hersteller-Standort und Maschinentyp  ";""
"Anwahl/Zurord. Rundachsen: 1.Dek 4=4.Achse 5=5.Achse, 2.Dek. Typ, 3.Dek Funk.";"Anwahl/Zurord. Rundachsen: 1.Dek 4=4.Achse 5=5.Achse, 2.Dek. Typ, 3.Dek Funk.";""
"Anwahl Spindel: 0=aus, 1=Digital, 2=Sonder";"Anwahl Spindel: 0=aus, 1=Digital, 2=Sonder";""
"Anwahl Sonderfunktionen Spindel: 0=aus, 1=Abfrage Eingang'Freig.Sp', 2=mit Klem";"Anwahl Sonderfunktionen Spindel: 0=aus, 1=Abfrage Eingang'Freig.Sp', 2=mit Klem";""
"Anwahl Getriebe: 0=aus, 1=Zweistufiges Getriebe, 2=Stern Dreieck Umschaltung";"Anwahl Getriebe: 0=aus, 1=Zweistufiges Getriebe, 2=Stern Dreieck Umschaltung";""
"Anwahl Fraeskopf: 0=aus,1=Uni Schw.,2=Uni Schw.mit B-Achse,3=man.,4=mit A-Achs ";"Anwahl Fraeskopf: 0=aus,1=Uni Schw.,2=Uni Schw.mit B-Achse,3=man.,4=mit A-Achs ";""
"Anw WZW-Typ:0=aus,1=60V,2=125V,3=60H,4=125H,5=200V,6=Regal,7=Pickup Hub,8=PU";"Anw WZW-Typ:0=aus,1=60V,2=125V,3=60H,4=125H,5=200V,6=Regal,7=Pickup Hub,8=PU";""
"Anwahl WZ-Spanner: 0=SK40, 1=HSK mit 3 Endschalter, 2=HSK mit 4 Endschalter";"Anwahl WZ-Spanner: 0=SK40, 1=HSK mit 3 Endschalter, 2=HSK mit 4 Endschalter";""
"Anwahl Werkzeugbruch: 0=aus, 1=ein";"Anwahl Werkzeugbruch: 0=aus, 1=ein";""
"Anwahl Maschinenkuehlung: 0=aus, 1=ein";"Anwahl Maschinenkuehlung: 0=aus, 1=ein";""
"Anwahl Werzeug Waschen: 0=aus, 1=ein";"Anwahl Werzeug Waschen: 0=aus, 1=ein";""
"Anwahl Tool Dialog System: 0=aus, 1=ein";"Anwahl Tool Dialog System: 0=aus, 1=ein";""
"Anwahl Magazin: 0=aus,1=getakted,2=geregelt,3=Omron,4=Rad,5=Zusatz,6=Mast-Slave";"Anwahl Magazin: 0=aus,1=getakted,2=geregelt,3=Omron,4=Rad,5=Zusatz,6=Mast-Slave";""
"Anwahl Palettenwechsler: 0=aus, 1=DMC60P, 2=DMC125P, 3=DMP60";"Anwahl Palettenwechsler: 0=aus, 1=DMC60P, 2=DMC125P, 3=DMP60";""
"Anwahl Palettenspeicher: 0=aus, 1=RS4";"Anwahl Palettenspeicher: 0=aus, 1=RS4";""
"Anwahl Zentralschmierung: 0=aus, 1=Fettschmierung";"Anwahl Zentralschmierung: 0=aus, 1=Fettschmierung";""
"Anwahl Spindel Schmierung: 0=aus, 1=Öl/Luft Schmierung, 2=GMN-Schmierung";"Anwahl Spindel Schmierung: 0=aus, 1=Öl/Luft Schmierung, 2=GMN-Schmierung";""
"Anwahl Kuehlmittelanlage: 0=aus, 1-12=Kuehlmittelanlagen siehe Parameterliste";"Anwahl Kuehlmittelanlage: 0=aus, 1-12=Kuehlmittelanlagen siehe Parameterliste";""
"Anwahl Kuehlluft: 0=aus, 1=ein";"Anwahl Kuehlluft: 0=aus, 1=ein";""
"Anwahl Innere Kuehlmittelanlage: 0=aus, 1=ein";"Anwahl Innere Kuehlmittelanlage: 0=aus, 1=ein";""
"Anwahl Spaenefoerderer: 0=aus, 1=ein";"Anwahl Spaenefoerderer: 0=aus, 1=ein";""
"Anwahl Messtaster: 0=aus, 1=Kabelmesstaster, 2=Infrarot HH, 3=MP10 Opt.Ein Aus ";"Anwahl Messtaster: 0=aus, 1=Kabelmesstaster, 2=Infrarot HH, 3=MP10 Opt.Ein Aus ";""
"Anwahl Sonderbetriebsarten: 0=aus, 1=3. BA, 2=4. BA";"Anwahl Sonderbetriebsarten: 0=aus, 1=3. BA, 2=4. BA";""
"Anwahl Temperaturkompensation: 0=aus, 1=Einfühlerkomp., 2=Mehrfühlerkomp.";"Anwahl Temperaturkompensation: 0=aus, 1=Einfühlerkomp., 2=Mehrfühlerkomp.";""
"Anwahl Spannvorrichtung: 0=aus, 1=ein";"Anwahl Spannvorrichtung: 0=aus, 1=ein";""
"Anwahl Handlingsystem: 0=aus, 1=SYSTEM_3R";"Anwahl Handlingsystem: 0=aus, 1=SYSTEM_3R";""
"Wartezeit (nach Handverfahren) für Freigabe MAG-Positionierung durch T-Befehl";"Wartezeit (nach Handverfahren) für Freigabe MAG-Positionierung durch T-Befehl";""
"Bedienoptionen Siemens: 0=aus, 1=PHG, 2=BHG, 3=MBHG";"Bedienoptionen Siemens: 0=aus, 1=PHG, 2=BHG, 3=MBHG";""
"Anwahl Werkstueckzaehler";"Anwahl Werkstueckzaehler";""
"Anwahl Hydraulik: 0=aus, 1=ein";"Anwahl Hydraulik: 0=aus, 1=ein";""
"Anwahl Werkzeugvermessung : 0=aus, 1/2 = BLUM-Laser, 3 = Dose, 4 BLUM-Diagonal";"Anwahl Werkzeugvermessung : 0=aus, 1/2 = BLUM-Laser, 3 = Dose, 4 BLUM-Diagonal";""
"Anwahl Spuelpistole : 0 = aus, 1 = ein";"Anwahl Spuelpistole : 0 = aus, 1 = ein";""
"Anwahl Schmierung Dreh-Durführung: 0=aus, 1=ein mit Pumpe, 2=ein ohne Pumpe";"Anwahl Schmierung Dreh-Durführung: 0=aus, 1=ein mit Pumpe, 2=ein ohne Pumpe";""
"Anwahl Minimalmengen-Schmierung: 0 = aus, 1 = ein";"Anwahl Minimalmengen-Schmierung: 0 = aus, 1 = ein";""
"DMC_80U,DMC_100,DMC125 Schmierung PW Pausenzeit / DMU60SAnwahl Stangenlader";"DMC_80U,DMC_100,DMC125 Schmierung PW Pausenzeit / DMU60SAnwahl Stangenlader";""
"Anwahl Reitstock bei DMC60S: 0=aus 1: Reitstock";"Anwahl Reitstock bei DMC60S: 0=aus 1: Reitstock";""
"Anwahl 6te Seite bei DMC60S: 0=aus 1: 6te Seite";"Anwahl 6te Seite bei DMC60S: 0=aus 1: 6te Seite";""
"Anwahl 1=OMAT 2=ARTIS 3=MCU-Toolinspect";"Anwahl 1=OMAT 2=ARTIS 3=MCU-Toolinspect";""
"Anwahl Teileent. Stange 1:Achsen2:kl.Rut 3:gr.Rut ";"Anwahl Teileent. Stange 1:Achsen2:kl.Rut 3:gr.Rut ";""
"Anwahl Option Palettenverwaltung 1: Ein 0: Aus    ";"Anwahl Option Palettenverwaltung 1: Ein 0: Aus    ";""
"Anwahl Kinematik : 0:aus; 1:Rund-Schwenktisch";"Anwahl Kinematik : 0:aus; 1:Rund-Schwenktisch";""
"Anwahl Option: 1 = mit NC-Teilapperat; 2 = Schwenkrundisch";"Anwahl Option: 1 = mit NC-Teilapperat; 2 = Schwenkrundisch";""
"Anwahl Vibrationssensor: 0=aus 1=ein ";"Anwahl Vibrationssensor: 0=aus 1=ein ";""
"Anwahl Druckstufen IKZ: 0=aus, >1=Anz.DruckstSep. Ausg., >1000=analog Ausgang";"Anwahl Druckstufen IKZ: 0=aus, >1=Anz.DruckstSep. Ausg., >1000=analog Ausgang";""
"Anwahl Werkstückspanner A-Achse: 0=Spann. norm. auf/zu, 1=Spann. m. HAWE auf/zu";"Anwahl Werkstückspanner A-Achse: 0=Spann. norm. auf/zu, 1=Spann. m. HAWE auf/zu";""
"Anwahl FD FETTSCHM: 0=keine 1=Fettpresse 2=Vogel";"Anwahl FD FETTSCHM: 0=keine 1=Fettpresse 2=Vogel";""
"Anwahl Safety";"Anwahl Safety";""
"Anwahl Rauch und Nebel Abscheider: 1=ein";"Anwahl Rauch und Nebel Abscheider: 1=ein";""
"Anwahl Kühlmittel Sonderfunktion: 1=BEMA Düsen";"Anwahl Kühlmittel Sonderfunktion: 1=BEMA Düsen";""
"Anwahl Vorsatzspindel";"Anwahl Vorsatzspindel";""
"Wartezeit für Palettenwechsler ""Klemmung auf"" nach Eingangsmeldung";"Wartezeit für Palettenwechsler ""Klemmung auf"" nach Eingangsmeldung";""
"Sonderanwendung: IO Belegung";"Sonderanwendung: IO Belegung";""
"Sonderanwendung: 1. MD";"Sonderanwendung: 1. MD";""
"Sonderanwendung: 2. MD";"Sonderanwendung: 2. MD";""
"Sonderanwendung: 3. MD";"Sonderanwendung: 3. MD";""
"Sonderanwendung: 4. MD";"Sonderanwendung: 4. MD";""
"Sonderanwendung: 5. MD";"Sonderanwendung: 5. MD";""
"Sonderanwendung: 6. MD";"Sonderanwendung: 6. MD";""
"Maximale Geschwindigkeit Achse 1 [m/min]";"Maximale Geschwindigkeit Achse 1 [m/min]";""
"Maximale Geschwindigkeit Achse 2 [m/min]";"Maximale Geschwindigkeit Achse 2 [m/min]";""
"Maximale Geschwindigkeit Achse 3 [m/min]";"Maximale Geschwindigkeit Achse 3 [m/min]";""
"Maximale Geschwindigkeit Achse 4 [[U/min]*10]";"Maximale Geschwindigkeit Achse 4 [[U/min]*10]";""
"Maximale Geschwindigkeit Achse 5 [[U/min]*10]";"Maximale Geschwindigkeit Achse 5 [[U/min]*10]";""
"Maximale Geschwindigkeit Achse 10 [[U/min]*10] (Stangenlader)";"Maximale Geschwindigkeit Achse 10 [[U/min]*10] (Stangenlader)";""
"Maximale Spindeldrehzahl [U/min]";"Maximale Spindeldrehzahl [U/min]";""
"Vorschub bei G00";"Vorschub bei G00";""
"Einrichtbetriebs: Maximaler Vorschub/Eilgang [m/min]";"Einrichtbetriebs: Maximaler Vorschub/Eilgang [m/min]";""
"Betriebsart 3: Maximaler Vorschub/Eilgang [m/min]";"Betriebsart 3: Maximaler Vorschub/Eilgang [m/min]";""
"Betriebsart 4: Maximaler Vorschub/Eilgang [m/min]";"Betriebsart 4: Maximaler Vorschub/Eilgang [m/min]";""
"Betriebsart 2: Maximale Drehzahl [U/min] (Einrichtbetrieb)";"Betriebsart 2: Maximale Drehzahl [U/min] (Einrichtbetrieb)";""
"Betriebsart 3: Maximale Drehzahl [U/min]";"Betriebsart 3: Maximale Drehzahl [U/min]";""
"Betriebsart 4: Maximale Drehzahl [U/min]";"Betriebsart 4: Maximale Drehzahl [U/min]";""
"Drehzahl-Begranzungs-Konstante";"Drehzahl-Begranzungs-Konstante";""
"max Drehzahl bei WZ-Radius = 0";"max Drehzahl bei WZ-Radius = 0";""
"Greifer schnell langsam schwenken ";"Greifer schnell langsam schwenken ";""
"Vorschuboverride >x% ";"Vorschuboverride >x% ";""
"Drehzahl Magazin Magazintüre geschlossen [[U/min]/10]";"Drehzahl Magazin Magazintüre geschlossen [[U/min]/10]";""
"Drehzahl Magazin Magazintüre geöffnet [[U/min]/10]";"Drehzahl Magazin Magazintüre geöffnet [[U/min]/10]";""
"Einschaltverzoegerung 4. Achse [s]";"Einschaltverzoegerung 4. Achse [s]";""
"Ausschaltverzoegerung 4. Achse [s]";"Ausschaltverzoegerung 4. Achse [s]";""
"Einschaltverzoegerung 5. Achse [s]";"Einschaltverzoegerung 5. Achse [s]";""
"Ausschaltverzoegerung 5. Achse [s]";"Ausschaltverzoegerung 5. Achse [s]";""
"Eintrichtbetriebsart: Achse 4 Maximale Drehzahl [[U/min]*10]";"Eintrichtbetriebsart: Achse 4 Maximale Drehzahl [[U/min]*10]";""
"Betriebsart 3: Achse 4 Maximale Drehzahl [[U/min]*10]";"Betriebsart 3: Achse 4 Maximale Drehzahl [[U/min]*10]";""
"Betriebsart 4: Achse 4 Maximale Drehzahl [[U/min]*10]";"Betriebsart 4: Achse 4 Maximale Drehzahl [[U/min]*10]";""
"Einrichtbetriebsart: Achse 5 Maximale Drehzahl [[U/min]*10]";"Einrichtbetriebsart: Achse 5 Maximale Drehzahl [[U/min]*10]";""
"Betriebsart 3: Achse 5 Maximale Drehzahl [[U/min]*10]";"Betriebsart 3: Achse 5 Maximale Drehzahl [[U/min]*10]";""
"Betriebsart 4: Achse 5 Maximale Drehzahl [[U/min]*10]";"Betriebsart 4: Achse 5 Maximale Drehzahl [[U/min]*10]";""
"Getriebe: Ansteuerung Motor [s]";"Getriebe: Ansteuerung Motor [s]";""
"Getriebe: Ansteuerung Drehrichtungsumkehr Motor [s]";"Getriebe: Ansteuerung Drehrichtungsumkehr Motor [s]";""
"Getriebe: Ansteuerung Motor aus undef. Position [s]";"Getriebe: Ansteuerung Motor aus undef. Position [s]";""
"Eintrichtbetriebsart: Achse 10 (Stangenlader) Maximale Drehzahl [U/min]";"Eintrichtbetriebsart: Achse 10 (Stangenlader) Maximale Drehzahl [U/min]";""
"Betriebsart 3: Achse 10 (Stangenlader) Maximale Drehzahl [U/min]";"Betriebsart 3: Achse 10 (Stangenlader) Maximale Drehzahl [U/min]";""
"Betriebsart 4: Achse 10 (Stangenlader) Maximale Drehzahl [U/min]";"Betriebsart 4: Achse 10 (Stangenlader) Maximale Drehzahl [U/min]";""
"Service-Agent: Stundenzahl für 1. Wartung";"Service-Agent: Stundenzahl für 1. Wartung";""
"Betriebsart 3/4: Maximale Drehzahl [U/min] (Einrichtbetrieb)";"Betriebsart 3/4: Maximale Drehzahl [U/min] (Einrichtbetrieb)";""
"Fenster für Pinole steht im mV ";"Fenster für Pinole steht im mV ";""
"Maximale Spindeltemperatur: 0=aus >1=ein [0,1 Grad]";"Maximale Spindeltemperatur: 0=aus >1=ein [0,1 Grad]";""
"Maximale Geschwindigkeit Achse 4 Drehspindel [U/min]";"Maximale Geschwindigkeit Achse 4 Drehspindel [U/min]";""
"Zeit in BA4 von Zustimmtaste bis Meldung kommt (sec)";"Zeit in BA4 von Zustimmtaste bis Meldung kommt (sec)";""
"Zeit in BA4 von Meldung bis Hupe kommt (sec)";"Zeit in BA4 von Meldung bis Hupe kommt (sec)";""
"Zeit in BA4 von Hupe bis Stop (sec)";"Zeit in BA4 von Hupe bis Stop (sec)";""
"maximaler Druck für Greifer der 6ten Seite";"maximaler Druck für Greifer der 6ten Seite";""
"maximaler Druck für Pinole von Reitstock";"maximaler Druck für Pinole von Reitstock";""
"maximaler Druck für WS-Spanner A-Achse";"maximaler Druck für WS-Spanner A-Achse";""
"minimaler Druck für WS-Spanner A-Achse";"minimaler Druck für WS-Spanner A-Achse";""
"WZ-Reinigen: Dauer Reinigung [s]";"WZ-Reinigen: Dauer Reinigung [s]";""
"Anwahl Positionieren der Achsen mit Schwenken FK: 0=aus, 1=ein";"Anwahl Positionieren der Achsen mit Schwenken FK: 0=aus, 1=ein";""
"Anwahl WZW Sonderfunktionen";"Anwahl WZW Sonderfunktionen";""
"WZW: Ablage WZ in Magazin Verzoegerungzeit [s]";"WZW: Ablage WZ in Magazin Verzoegerungzeit [s]";""
"WZW: Verzoegerungszeit Greifer drehen [s]";"WZW: Verzoegerungszeit Greifer drehen [s]";""
"WZW: Grenze langsam Drehen WZ-Greifer (LxR) ";"WZW: Grenze langsam Drehen WZ-Greifer (LxR) ";""
"WZB: max. Toleranz (+/-)";"WZB: max. Toleranz (+/-)";""
"Maximale Tischtemperatur: 0=aus >1=ein [0,1 Grad]";"Maximale Tischtemperatur: 0=aus >1=ein [0,1 Grad]";""
"Kühlmittelanlage Laufzeit Vlies";"Kühlmittelanlage Laufzeit Vlies";""
"TDS: Differenz zwischen Wechselposition und Eingabenplatz";"TDS: Differenz zwischen Wechselposition und Eingabenplatz";""
"TDS: Leseplatz";"TDS: Leseplatz";""
"Magazin: Anzahl Plaetze";"Magazin: Anzahl Plaetze";""
"Magazin: Anzahl HSK-Plaetze";"Magazin: Anzahl HSK-Plaetze";""
"Magazin: Ruestpostion TIN/TOUT";"Magazin: Ruestpostion TIN/TOUT";""
"Magazin getaktet: maximales Zaehlimpulsstand [s]";"Magazin getaktet: maximales Zaehlimpulsstand [s]";""
"Magazin getaktet: Abschaltverzoegerung nach erreichen des Wechselplatzes [ms]";"Magazin getaktet: Abschaltverzoegerung nach erreichen des Wechselplatzes [ms]";""
"Magazin Zweihandbedienung Überwachungszeit [100ms]";"Magazin Zweihandbedienung Überwachungszeit [100ms]";""
"Zeit Lekageüberwachung Drehdurchführung  ";"Zeit Lekageüberwachung Drehdurchführung  ";""
"Magazin Abstand Kegelreinigung";"Magazin Abstand Kegelreinigung";""
"Magazinhub";"Magazinhub";""
"KSA3/7: Zwangstaktung Papierbandfilter / Intervallzeit Spaltsieb";"KSA3/7: Zwangstaktung Papierbandfilter / Intervallzeit Spaltsieb";""
"Palettenwechsler Sonderfunktionen: 0=aus";"Palettenwechsler Sonderfunktionen: 0=aus";""
"Palettenwechsler: maximale Länge WZ zum durchfuehren PW [mm]";"Palettenwechsler: maximale Länge WZ zum durchfuehren PW [mm]";""
"Palettenwechsler: Spuelzeit Vorsposition";"Palettenwechsler: Spuelzeit Vorsposition";""
"Anzahl Speicherplätze Palettenspeicher";"Anzahl Speicherplätze Palettenspeicher";""
"Palettenspeicher Sonderfunktion";"Palettenspeicher Sonderfunktion";""
"Paletten Nullpunktverschiebung";"Paletten Nullpunktverschiebung";""
" FD-Tisch Schmierzeit in Minuten ";" FD-Tisch Schmierzeit in Minuten ";""
"Anzahl Schmierhub pro Intervall   ";"Anzahl Schmierhub pro Intervall   ";""
"Maschinendatenstand Teil 1";"Maschinendatenstand Teil 1";""
"Maschinendatenstand Teil 2";"Maschinendatenstand Teil 2";""
"Spindel Schmierung: Pumpennachlaufzeit für den erforderlichen Druckaufbau [s]";"Spindel Schmierung: Pumpennachlaufzeit für den erforderlichen Druckaufbau [s]";""
"Spindel Schmierung: Auszeit Schmierimpuls bei Vorschmierung [s]";"Spindel Schmierung: Auszeit Schmierimpuls bei Vorschmierung [s]";""
"Spindel Schmierung: Gesamte Vorschmierzeit [s]";"Spindel Schmierung: Gesamte Vorschmierzeit [s]";""
"Spindel Schmierung: Erneute Vorschmierung [min]";"Spindel Schmierung: Erneute Vorschmierung [min]";""
"Spindel Schmierung: Nachlaufzeit Schmierung nach Spindelstillstand [s]";"Spindel Schmierung: Nachlaufzeit Schmierung nach Spindelstillstand [s]";""
"Spindel Schmierung: Schmierintervall bei drehender Spindel [s]";"Spindel Schmierung: Schmierintervall bei drehender Spindel [s]";""
"Spindel Schmierung: Ansteuerzeit Schmierung [s]";"Spindel Schmierung: Ansteuerzeit Schmierung [s]";""
"Zeit in Sekunden für spindelvorschubhalt bei G0";"Zeit in Sekunden für spindelvorschubhalt bei G0";""
" Einschaltzeit der Schnecken    ";" Einschaltzeit der Schnecken    ";""
" Pausenzeit Schnecken";" Pausenzeit Schnecken";""
"Zentralschmierung: Intervall Schmierung [min]";"Zentralschmierung: Intervall Schmierung [min]";""
"Zentralschmierung: Inpulsdauer Ausgang Schmierung [s]";"Zentralschmierung: Inpulsdauer Ausgang Schmierung [s]";""
"Schmierung DrehDurchführung: Intervall Schmierung [min]";"Schmierung DrehDurchführung: Intervall Schmierung [min]";""
"Zentralschmierung: Überwachung [s]";"Zentralschmierung: Überwachung [s]";""
"Vibrationssensor: Vibrationsgrenzwert zwischen Bereich Gruen und Gelb in[mV]";"Vibrationssensor: Vibrationsgrenzwert zwischen Bereich Gruen und Gelb in[mV]";""
"Vibrationssensor: Vibrationsgrenzwert zwischen Bereich Gelb und Rot in[mV]";"Vibrationssensor: Vibrationsgrenzwert zwischen Bereich Gelb und Rot in[mV]";""
"Vibrationssensor: Vibrationsgrenzwert zwischen Bereich Rot und Extrembereich in";"Vibrationssensor: Vibrationsgrenzwert zwischen Bereich Rot und Extrembereich in";""
"Vibrationssensor: Zeit in s im Roten Bereich bis Reaktion (Fehler)   ";"Vibrationssensor: Zeit in s im Roten Bereich bis Reaktion (Fehler)   ";""
"Kühlmittelanlage Füllstand Vorwarnung : Zeit is Fehler bei aktivem M8/M7 [s]";"Kühlmittelanlage Füllstand Vorwarnung : Zeit is Fehler bei aktivem M8/M7 [s]";""
"Kühlmittelanlage: 1: Werkstück- und Spänespülung gegenseitig verriegelt";"Kühlmittelanlage: 1: Werkstück- und Spänespülung gegenseitig verriegelt";""
"Kühlmittelanlage: maximale Abpumpzeit Hebepumpe [s]";"Kühlmittelanlage: maximale Abpumpzeit Hebepumpe [s]";""
"Konfiguration Kuehlmittel: 0=Spindel muss drehen 1=keine Spindelbewegung ";"Konfiguration Kuehlmittel: 0=Spindel muss drehen 1=keine Spindelbewegung ";""
"Konfiguration Innere Kuehlmittelzufuehrung:0=Spindel muss drehen 1=keine Spinde";"Konfiguration Innere Kuehlmittelzufuehrung:0=Spindel muss drehen 1=keine Spinde";""
"SpuehlPistole: Anwahl/Einschaltzeig Pumpe: [s]";"SpuehlPistole: Anwahl/Einschaltzeig Pumpe: [s]";""
"Späneförderer: 0=Beide Schnecken, >0 = Laufzeit abwechselnd [s]";"Späneförderer: 0=Beide Schnecken, >0 = Laufzeit abwechselnd [s]";""
"I_165: Tol-Fenster(+/-) ""Druck erreicht"" beim Spannen (initial: 3bar)";"I_165: Tol-Fenster(+/-) ""Druck erreicht"" beim Spannen (initial: 3bar)";""
"I_166: Tol-Fenster(-) ""Nachregeln"" (initial: 10bar)";"I_166: Tol-Fenster(-) ""Nachregeln"" (initial: 10bar)";""
"I_167: Tol-Fenster(-) ""Druckabfall NOTAUS-Abschaltung"" (initial: 25bar)";"I_167: Tol-Fenster(-) ""Druckabfall NOTAUS-Abschaltung"" (initial: 25bar)";""
"I_168: %-Vorgabe vom SOLL-Wert zum Steuern (initial: 90%)";"I_168: %-Vorgabe vom SOLL-Wert zum Steuern (initial: 90%)";""
"I_169: %-Vorgabe vom SOLL-Wert für Übergang Regelung (initial: 80%)";"I_169: %-Vorgabe vom SOLL-Wert für Übergang Regelung (initial: 80%)";""
